ADM1_NAME,ADM2_NAME,year,sightings
New South Wales,Inverell (A),1994,28
New South Wales,Inverell (A),1995,19
New South Wales,Inverell (A),1996,16
New South Wales,Inverell (A),1997,59
New South Wales,Inverell (A),1998,25
New South Wales,Inverell (A),1999,90
New South Wales,Inverell (A),2000,55
New South Wales,Inverell (A),2001,39
New South Wales,Inverell (A),2002,57
New South Wales,Inverell (A),2003,56
New South Wales,Inverell (A),2004,21
New South Wales,Inverell (A),2005,13
New South Wales,Inverell (A),2006,35
New South Wales,Inverell (A),2007,14
New South Wales,Inverell (A),2008,23
New South Wales,Inverell (A),2009,31
New South Wales,Inverell (A),2010,7
New South Wales,Inverell (A),2011,16
New South Wales,Inverell (A),2012,28
New South Wales,Inverell (A),2013,40
New South Wales,Inverell (A),2014,31
New South Wales,Inverell (A),2015,19
New South Wales,Inverell (A),2016,104
New South Wales,Inverell (A),2017,26
New South Wales,Inverell (A),2018,17
New South Wales,Inverell (A),2019,103
New South Wales,Inverell (A),2020,68
New South Wales,Inverell (A),2021,38
New South Wales,Inverell (A),2022,73
New South Wales,Inverell (A),2023,308
New South Wales,Inverell (A),2024,332
New South Wales,Inverell (A),2025,251
New South Wales,Inverell (A),2026,96
New South Wales,Kempsey (A),1990,15
New South Wales,Kempsey (A),1991,30
New South Wales,Kempsey (A),1992,234
New South Wales,Kempsey (A),1993,73
New South Wales,Kempsey (A),1994,91
New South Wales,Kempsey (A),1995,55
New South Wales,Kempsey (A),1996,81
New South Wales,Kempsey (A),1997,70
New South Wales,Kempsey (A),1998,140
New South Wales,Kempsey (A),1999,165
New South Wales,Kempsey (A),2000,177
New South Wales,Kempsey (A),2001,162
New South Wales,Kempsey (A),2002,154
New South Wales,Kempsey (A),2003,106
New South Wales,Kempsey (A),2004,107
New South Wales,Kempsey (A),2005,103
New South Wales,Kempsey (A),2006,65
New South Wales,Kempsey (A),2007,81
New South Wales,Kempsey (A),2008,67
New South Wales,Kempsey (A),2009,64
New South Wales,Kempsey (A),2010,89
New South Wales,Kempsey (A),2011,36
New South Wales,Kempsey (A),2012,21
New South Wales,Kempsey (A),2013,34
New South Wales,Kempsey (A),2014,87
New South Wales,Kempsey (A),2015,54
New South Wales,Kempsey (A),2016,66
New South Wales,Kempsey (A),2017,82
New South Wales,Kempsey (A),2018,199
New South Wales,Kempsey (A),2019,158
New South Wales,Kempsey (A),2020,264
New South Wales,Kempsey (A),2021,123
New South Wales,Kempsey (A),2022,315
New South Wales,Kempsey (A),2023,509
New South Wales,Kempsey (A),2024,527
New South Wales,Kempsey (A),2025,295
New South Wales,Kempsey (A),2026,19
New South Wales,Lithgow (C),1990,4
New South Wales,Lithgow (C),1991,11
New South Wales,Lithgow (C),1992,5
New South Wales,Lithgow (C),1993,16
New South Wales,Lithgow (C),1994,26
New South Wales,Lithgow (C),1995,15
New South Wales,Lithgow (C),1996,11
New South Wales,Lithgow (C),1997,75
New South Wales,Lithgow (C),1998,79
New South Wales,Lithgow (C),1999,126
New South Wales,Lithgow (C),2000,188
New South Wales,Lithgow (C),2001,69
New South Wales,Lithgow (C),2002,36
New South Wales,Lithgow (C),2003,28
New South Wales,Lithgow (C),2004,98
New South Wales,Lithgow (C),2005,143
New South Wales,Lithgow (C),2006,80
New South Wales,Lithgow (C),2007,95
New South Wales,Lithgow (C),2008,130
New South Wales,Lithgow (C),2009,119
New South Wales,Lithgow (C),2010,243
New South Wales,Lithgow (C),2011,105
New South Wales,Lithgow (C),2012,155
New South Wales,Lithgow (C),2013,189
New South Wales,Lithgow (C),2014,42
New South Wales,Lithgow (C),2015,52
New South Wales,Lithgow (C),2016,137
New South Wales,Lithgow (C),2017,189
New South Wales,Lithgow (C),2018,174
New South Wales,Lithgow (C),2019,96
New South Wales,Lithgow (C),2020,97
New South Wales,Lithgow (C),2021,142
New South Wales,Lithgow (C),2022,93
New South Wales,Lithgow (C),2023,154
New South Wales,Lithgow (C),2024,137
New South Wales,Lithgow (C),2025,121
New South Wales,Lithgow (C),2026,2
New South Wales,Mid-Western Regional (A),1990,17
New South Wales,Mid-Western Regional (A),1991,18
New South Wales,Mid-Western Regional (A),1992,15
New South Wales,Mid-Western Regional (A),1993,38
New South Wales,Mid-Western Regional (A),1994,12
New South Wales,Mid-Western Regional (A),1995,8
New South Wales,Mid-Western Regional (A),1996,22
New South Wales,Mid-Western Regional (A),1997,93
New South Wales,Mid-Western Regional (A),1998,1
